temperature,wind_speed,pressure,movement,risk,label
28.5,15,1015,80,SAFE,0
27.2,12,1018,90,SAFE,0
26.8,10,1020,95,SAFE,0
29.1,18,1012,75,SAFE,0
28.0,20,1010,70,SAFE,0
27.5,22,1008,65,SAFE,0
29.5,25,1005,60,SAFE,0
30.0,28,1003,55,WARNING,1
30.5,30,1002,50,WARNING,1
31.0,32,1000,45,WARNING,1
31.5,35,998,40,WARNING,1
32.0,38,996,35,WARNING,1
29.0,40,994,30,WARNING,1
28.5,42,992,25,WARNING,1
32.5,45,990,20,DANGER,2
33.0,50,988,15,DANGER,2
33.5,55,985,10,DANGER,2
34.0,60,982,5,DANGER,2
34.5,65,980,3,DANGER,2
35.0,70,978,2,DANGER,2
33.2,62,983,8,DANGER,2
32.8,58,986,12,DANGER,2
26.5,8,1022,100,SAFE,0
27.0,9,1021,98,SAFE,0
28.2,14,1016,82,SAFE,0
29.3,19,1011,72,SAFE,0
30.2,29,1004,52,WARNING,1
31.2,33,999,42,WARNING,1
31.8,37,997,37,WARNING,1
32.1,41,993,28,WARNING,1
33.8,52,987,13,DANGER,2
34.2,58,984,7,DANGER,2
27.8,11,1019,88,SAFE,0
28.8,16,1014,78,SAFE,0
29.8,21,1009,68,SAFE,0
30.8,31,1001,48,WARNING,1
31.4,36,996,38,WARNING,1
32.4,43,991,27,WARNING,1
33.4,54,986,11,DANGER,2
34.4,63,981,4,DANGER,2
26.0,7,1023,100,SAFE,0
26.3,8,1022,99,SAFE,0
27.3,10,1020,94,SAFE,0
28.3,15,1016,79,SAFE,0
29.2,20,1010,69,SAFE,0
30.1,28,1003,53,WARNING,1
30.9,32,1000,46,WARNING,1
31.7,36,997,38,WARNING,1
32.3,40,994,31,WARNING,1
33.1,48,989,18,DANGER,2
33.9,56,984,9,DANGER,2
34.7,67,979,2,DANGER,2
25.5,6,1024,100,SAFE,0
26.1,9,1021,97,SAFE,0
27.1,11,1019,91,SAFE,0
28.1,14,1017,81,SAFE,0
29.0,19,1011,71,SAFE,0
29.9,26,1005,57,SAFE,0
30.7,31,1001,47,WARNING,1
31.5,35,998,39,WARNING,1
32.2,39,995,32,WARNING,1
33.0,46,990,21,DANGER,2
33.8,55,985,10,DANGER,2
34.6,64,980,3,DANGER,2
28.6,17,1013,77,SAFE,0
29.4,22,1008,64,SAFE,0
30.3,29,1003,51,WARNING,1
31.1,34,999,44,WARNING,1
31.9,38,996,36,WARNING,1
32.7,44,991,26,WARNING,1
33.5,53,986,12,DANGER,2
34.3,61,981,5,DANGER,2
27.4,10,1020,93,SAFE,0
28.4,15,1015,80,SAFE,0
29.6,23,1007,62,SAFE,0
30.6,30,1002,49,WARNING,1
31.3,35,998,41,WARNING,1
32.0,39,995,33,WARNING,1
32.9,45,990,22,DANGER,2
33.7,54,985,11,DANGER,2
34.5,63,980,4,DANGER,2
26.7,9,1021,96,SAFE,0
27.7,12,1018,87,SAFE,0
28.7,16,1014,77,SAFE,0
29.7,24,1006,59,SAFE,0
30.5,29,1003,53,WARNING,1
31.0,33,1000,46,WARNING,1
31.8,37,997,37,WARNING,1
32.6,43,992,25,WARNING,1
33.4,51,987,14,DANGER,2
34.2,60,982,6,DANGER,2
35.1,72,977,1,DANGER,2
26.2,8,1022,99,SAFE,0
27.6,11,1019,90,SAFE,0
28.9,17,1013,76,SAFE,0
30.0,27,1004,54,WARNING,1
31.6,36,997,38,WARNING,1
32.4,42,993,27,WARNING,1
33.6,52,987,13,DANGER,2
34.8,65,979,3,DANGER,2
29.8,25,1006,58,SAFE,0
30.4,30,1002,50,WARNING,1
31.2,34,999,43,WARNING,1
32.1,40,994,30,WARNING,1
33.2,49,989,17,DANGER,2
34.0,57,984,8,DANGER,2
27.9,13,1017,84,SAFE,0
28.5,16,1014,78,SAFE,0
29.1,20,1010,70,SAFE,0
29.9,26,1005,56,SAFE,0
30.8,31,1001,48,WARNING,1
31.6,36,997,38,WARNING,1
32.4,42,993,28,WARNING,1
33.3,49,988,18,DANGER,2
34.1,59,983,7,DANGER,2
34.9,68,978,2,DANGER,2
26.9,9,1021,95,SAFE,0
28.0,14,1016,82,SAFE,0
29.2,21,1009,67,SAFE,0
30.1,27,1004,55,WARNING,1
30.9,32,1000,47,WARNING,1
31.7,37,997,37,WARNING,1
32.5,43,992,26,WARNING,1
33.3,50,988,16,DANGER,2
34.1,58,983,7,DANGER,2
27.2,11,1019,91,SAFE,0
28.2,15,1015,80,SAFE,0
29.4,22,1008,65,SAFE,0
30.2,28,1003,52,WARNING,1
31.0,33,1000,45,WARNING,1
31.8,38,996,35,WARNING,1
32.6,44,991,24,WARNING,1
33.4,53,986,12,DANGER,2
34.2,62,981,5,DANGER,2
35.0,71,977,1,DANGER,2
