zone_id,temperature,wind_speed,pressure,fish_density,risk_level
zone4,30.61095761430866,30.31844539468635,1010.0517630992169,Medium,SAFE
zone5,28.042007683265517,5.144396269630281,1003.4408188382492,High,SAFE
zone3,29.363905942589927,22.670502658692588,1004.6744316846232,High,SAFE
zone5,27.379466486813087,28.89630795623437,1008.4738764782267,Low,SAFE
zone5,28.648332704976884,20.822839892754242,1006.9524389892035,Medium,WARNING
zone2,27.739713891264632,30.654803750653514,1009.0651434850728,High,SAFE
zone3,28.193991929985437,14.827115498996278,1010.2832496244855,High,SAFE
zone3,29.190314050873827,34.0934744018558,1012.6484637717837,Low,WARNING
zone3,26.363558633533057,42.9889812361925,1009.6475061097045,High,DANGER
zone5,32.18477455137092,16.37161439560341,1012.432508219131,High,WARNING
zone4,25.987965237000594,15.54497478599228,1010.3223720740506,Medium,SAFE
zone3,25.571622774424537,34.53384477117701,1000.1226671682307,Low,WARNING
zone5,30.316221747000135,35.795721457307124,1005.3033230309062,Low,DANGER
zone2,29.58332538792587,14.771399728467317,1009.2795622213919,High,SAFE
zone4,29.24823963410431,15.798131829041427,1003.9515262857944,Low,SAFE
zone2,29.25669101852856,17.182153911394927,1012.9996436499811,Medium,DANGER
zone4,27.97550645430617,6.555494889657229,1017.6537541617184,High,SAFE
zone5,26.20549125702834,10.813480535158018,1016.0938092584865,High,SAFE
zone1,28.15160911638745,9.958592332479322,1008.932785645349,High,SAFE
zone4,26.645676576975777,12.322024348958715,1017.4536306842498,High,SAFE
zone2,29.9502394668355,19.653151126132187,1010.7433372860105,Medium,WARNING
zone5,27.705885236995723,22.342147325365207,1008.3145701444098,Low,WARNING
zone4,26.349005606414977,35.50500492814077,1006.9329866822953,Low,DANGER
zone1,27.357228316694012,10.01645959261209,1008.4876515675594,High,SAFE
zone1,28.825862908551247,29.843223984765835,1008.0591159072939,Medium,DANGER
zone3,26.87255089439205,17.86011155774491,1010.8520811118774,Medium,SAFE
zone3,26.355559208867138,19.50536290347567,1010.8028699052493,Medium,WARNING
zone2,28.487374422983823,26.748194921666038,1010.0152301007671,Low,WARNING
zone4,28.489933142217446,8.772779784377015,1012.1846908487317,High,SAFE
zone4,26.98611364925774,23.824097461840505,1015.9532313739317,High,SAFE
zone3,27.057923388763353,21.66452208213056,1014.7477706772066,High,WARNING
zone4,28.464099874715274,24.924512640081492,1002.5755101577505,Low,WARNING
zone4,25.10383131700535,22.891686439078182,997.2303943254902,Low,WARNING
zone1,25.18507245124689,44.55300139910894,1014.6715995561964,Medium,DANGER
zone3,26.563111557495127,13.62260015748684,1003.1656065079229,High,SAFE
zone5,27.573105696576306,14.690030449981823,1008.8761729905366,High,SAFE
zone3,28.62181513119601,13.768594735752355,1004.1494348697032,High,SAFE
zone5,30.950712433899103,14.445228808397452,1000.9900978120999,High,SAFE
zone1,29.71531924640404,13.626128726934823,1012.7073136410239,High,SAFE
zone2,27.680122940073147,31.890165311075517,1013.7957758015133,Low,DANGER
zone4,27.96196758419462,34.20504247989855,1007.1174479963664,Medium,WARNING
zone1,25.994941270724382,14.292537062505238,997.0447885392755,High,SAFE
zone4,27.96297372801522,11.676444268957713,1007.2687777587375,High,SAFE
zone2,27.422682722159724,24.71415556386404,1011.9590200270127,High,SAFE
zone2,28.645437120676178,14.477769557190287,1002.6054421561294,High,SAFE
zone1,26.345538112895355,26.32931817755511,1010.9167995988958,Low,SAFE
zone2,29.038693028482346,22.029230208513,1009.923450754135,Low,WARNING
zone5,31.065477826005157,4.842558850027681,1012.8964574980055,High,SAFE
zone2,27.782479703086285,35.47505201330061,1010.5979018420708,Low,DANGER
zone4,28.803423444197882,37.95877673095522,1005.1346552955922,High,DANGER
zone4,29.380287983422225,13.872113095156138,1015.9828575083225,High,SAFE
zone4,27.19755905622833,16.12298440064016,1009.2073521348651,Medium,DANGER
zone4,28.448184963620832,22.85865390724905,1009.8634773024503,High,SAFE
zone5,28.02518480156359,23.34456789987025,1005.333660204634,High,WARNING
zone3,28.195352197097662,26.585442726728303,1007.7835887440425,Medium,DANGER
zone1,26.453980432289068,40.102045387663495,1005.5759864298655,High,DANGER
zone4,28.049020348517885,18.230527725059506,1009.1352697003829,Low,SAFE
zone2,28.9959965824909,12.017027554615463,1018.5585424007118,High,SAFE
zone4,30.902287215590082,6.206807719854728,1003.1404942853433,High,SAFE
zone2,29.918541652170415,12.69069960058081,1001.9321930106163,High,SAFE
zone2,32.30636491502311,19.668730271262028,1017.355851637468,High,WARNING
zone4,26.4653048742239,37.94557863517788,1008.9533816142407,Medium,DANGER
zone5,29.744641273441356,14.823887009638286,1006.6546363067005,High,SAFE
zone2,28.366684011476703,22.237879516388986,1015.1995234369804,Medium,SAFE
zone2,32.37960586643534,19.83577103927248,1006.9719223013157,Low,WARNING
zone4,26.383403429289697,31.88393273448084,1019.1300485677347,Medium,DANGER
zone2,26.32055631563845,45.26932425873622,1013.3896293566963,Low,DANGER
zone2,26.801214709111957,14.691312270796793,1007.5604429592715,High,SAFE
zone4,23.752208551380384,15.10560557481778,1020.7865410663276,Low,SAFE
zone4,26.94848995663848,30.44160877069072,1006.9714253849833,High,DANGER
zone1,26.481734676892604,26.818914896263113,1013.7104768600466,High,WARNING
zone5,28.300787572952416,38.46707325736034,1011.4964629020325,Medium,DANGER
zone5,28.68351195155432,25.83928185325964,1016.508706446994,Medium,SAFE
zone2,31.752341678431772,16.407079092129404,1017.8075559836343,Medium,WARNING
zone5,29.900847676372102,25.906548306923092,1010.1600207453288,Medium,DANGER
zone2,26.846192688675195,31.08703580582908,1006.2329106482691,Low,SAFE
zone1,26.203170657303286,28.20482181197364,1012.2998607146956,Low,SAFE
zone4,28.983838343013012,25.072740311072977,1006.6114231512395,Low,DANGER
zone4,25.359533585958715,30.66674689589154,1020.0669362376332,High,DANGER
zone4,31.662917531708707,31.692955904456728,1010.6826766554137,Low,DANGER
zone5,30.358880241442574,33.82158991037527,1008.1733922434395,Low,SAFE
zone1,27.06164869579059,26.48709887589643,1010.9234015293246,Low,DANGER
zone5,24.573730941818244,18.328819196831457,1003.2643685523515,Medium,SAFE
zone5,30.707744748330825,21.467136864333227,1005.1419298074468,Low,DANGER
zone1,27.770920309494763,32.06508966508357,1016.0020695397221,High,SAFE
zone1,30.47563262394692,11.83064329012764,1006.715528605143,High,SAFE
zone1,24.811144682411268,23.686733088729014,1004.7654450865903,High,WARNING
zone1,26.801249954092455,16.066611876726395,1012.6832637626364,Low,DANGER
zone4,28.010487399436368,20.287448229348175,1015.928520773315,Medium,DANGER
zone3,28.093961187529484,32.78451862607299,1013.5947665533254,High,SAFE
zone3,27.099869057041513,21.910990680199035,1014.9802384290291,Low,SAFE
zone1,29.245699864695,20.464365481561487,1006.2160245571527,High,SAFE
zone3,25.86475914123481,6.401438590200808,1002.8909466662908,High,SAFE
zone3,27.71524102995741,27.46253566027221,1017.5066682597775,High,WARNING
zone1,28.2405912634238,26.454841811410752,1008.3866008057893,Low,SAFE
zone3,29.0288776681175,41.6325472330546,1008.7458349177248,Low,DANGER
zone5,29.42322975617778,16.922217650469992,1016.6409707092453,High,DANGER
zone2,25.750715816324263,22.191503276639388,1012.7811500470033,Medium,WARNING
zone2,24.931771658528756,22.49383683710755,1012.279438860408,Medium,WARNING
zone1,30.55535364379702,35.77453279763475,1020.8250117245054,Low,DANGER
zone4,28.66462802395918,19.04704467613048,1006.7824088480993,Low,DANGER
zone1,26.503026926886893,22.79021525770339,1014.6392006404062,Low,SAFE
zone4,31.102303951045045,26.078965097165394,1010.2850656244855,Low,WARNING
zone2,28.231349268585717,21.86609123156358,1011.3429613943163,Low,DANGER
zone1,30.358594368127655,15.535663854494718,1017.6423421320627,Medium,DANGER
zone5,28.13503696282022,21.940899928983075,1012.5391787814481,Low,WARNING
zone3,32.121495849763974,30.73631749859772,1012.6914803952482,High,SAFE
zone4,31.510681684886407,9.734847005889398,1015.362536686549,High,SAFE
zone3,27.502071703041853,21.32969674146876,1008.1752363522855,Medium,DANGER
zone3,29.94314190190871,12.998791850608267,1005.8039516633049,High,SAFE
zone1,29.290751899170296,31.950466289248425,1004.7759540298948,Medium,DANGER
zone3,30.737263115064696,4.768130952162252,1000.16821705312,High,SAFE
zone5,26.07015307883979,14.410781527284117,1020.2810356497016,High,SAFE
zone3,29.372102919996877,23.77211875064521,1004.4839581713916,Low,WARNING
zone1,30.116848973699177,35.65524029234341,1008.8937318820712,High,DANGER
zone5,24.482521027153773,19.34249738927012,1008.6159335005553,High,WARNING
zone2,25.63348297466845,14.448004733068016,1011.5370334890455,High,SAFE
zone3,23.9215356444798,38.8115706944059,1014.0786860626965,High,DANGER
zone1,27.461186331110884,5.5198609958375595,1014.3023674417988,High,SAFE
zone2,29.435084511591924,-1.9880595662008176,1007.0846128071553,High,SAFE
zone2,31.004714104192058,24.400144500533322,1009.164391431068,Low,SAFE
zone4,28.14818956083955,14.979457756473888,1011.4128997524415,High,SAFE
zone5,31.257231091142582,9.787671828692869,1008.7565443690822,High,SAFE
zone3,25.239797083570217,27.083564472993533,1018.0367278801,Medium,DANGER
zone1,24.59323512128969,22.43800713771199,1012.4548747581913,Low,DANGER
zone4,27.88890460220676,14.359213692632716,1013.674388930249,High,SAFE
zone5,28.768130897878613,7.1969560132910555,1013.314406343337,High,SAFE
zone4,27.934610503811815,28.724573282801448,1015.8673692874266,Low,SAFE
zone5,23.865115799920247,26.50201177958661,1010.9051077935185,Low,DANGER
zone5,27.821759920974422,19.00824136220617,1003.5158402602208,Medium,WARNING
